optionsymbol,exchange,date,futuresymbol,optionroot,expiration,securityid,strike,strikemultiplier,callput,futureexchange,futuresettlementprice,settlementprice,bid,offer,closeprice,volume,openinterest,lasttradedate,impliedvolatility,delta,vega,theta,gamma,rho,drho,optionid,exercisestyle,dte
P1E 23M80000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,80000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,6.017175,0.000483,2.426641,-2664.731546,2e-07,0.032905,-99.99,2016618695,E,1
P1E 23M80000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,80000.0,1.0,P,CMG,26925.0,53070.0,-99.99,-99.99,53070.0,0,0,,6.257475,-0.999087,3.802921,-1883.096361,3.1e-07,-219.097037,-99.99,2016618696,E,1
P1E 23M85000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,85000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,6.316221,0.000463,2.333435,-2689.728375,1.9e-07,0.03143,-99.99,2016618697,E,1
P1E 23M85000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,85000.0,1.0,P,CMG,26925.0,58065.0,-99.99,-99.99,58065.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618698,E,1
P1E 23M90000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,90000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,6.596366,0.000446,2.253271,-2712.524327,1.7e-07,0.030165,-99.99,2016618699,E,1
P1E 23M90000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,90000.0,1.0,P,CMG,26925.0,63065.0,-99.99,-99.99,63065.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618700,E,1
P1E 23M95000C,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,95000.0,1.0,C,CMG,26925.0,1.0,-99.99,-99.99,1.0,0,0,,6.859811,0.000431,2.183458,-2733.45909,1.6e-07,0.029067,-99.99,2016618701,E,1
P1E 23M95000P,CMG,2023-06-01,BTC 23M,P1E,2023-06-02,4005412,95000.0,1.0,P,CMG,26925.0,68065.0,-99.99,-99.99,68065.0,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016618702,E,1
P1D 23M100000P,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,100000.0,1.0,P,CMG,26925.0,73067.68,-99.99,-99.99,73067.68,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639376,E,0
P1D 23M10000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,10000.0,1.0,C,CMG,26925.0,16932.32,-99.99,-99.99,16932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639377,E,0
P1D 23M1000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,1000.0,1.0,C,CMG,26925.0,25932.32,-99.99,-99.99,25932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639379,E,0
P1D 23M15000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,15000.0,1.0,C,CMG,26925.0,11932.32,-99.99,-99.99,11932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639381,E,0
P1D 23M20000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,20000.0,1.0,C,CMG,26925.0,6932.32,-99.99,-99.99,6932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639383,E,0
P1D 23M21000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,21000.0,1.0,C,CMG,26925.0,5932.32,-99.99,-99.99,5932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639385,E,0
P1D 23M22000C,CMG,2023-06-01,BTC 23M,P1D,2023-06-01,4005412,22000.0,1.0,C,CMG,26925.0,4932.32,-99.99,-99.99,4932.32,0,0,,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99,2016639387,E,0
